folio;depto;area;s10b_10_01;s10b_10_02;s10b_10_03;s10b_10_04;s10b_10_05;s10b_10_06;s10b_10_07;s10b_10_08;s10b_10_09;s10b_10_10;s10b_10_11;s10b_10_12;s10b_10_13;s10b_10_14;s10b_10_15;s10b_10_16;s10b_10_17;s10b_10_18;s10b_10_19;s10b_10_20;s10b_10_21;s10b_10_22;s10b_10_23;s10b_10_24;s10b_10_25;s10b_10_26;s10b_10_27;s10b_10_28;s10b_11_01;s10b_11_02;s10b_11_03;s10b_11_04;s10b_11_05;s10b_11_06;s10b_11_07;s10b_11_08;s10b_12_01;s10b_12_02;s10b_12_03;s10b_13_01;s10b_13_02;s10b_13_03;s10b_13_04;s10b_13_05;s10b_13_06;s10b_13_07;s10b_13_08;s10b_13_09;s10b_13_10;s10b_13_11;s10b_13_12;s10b_13_13;s10b_13_14;s10b_13_15;s10b_13_16;s10b_13_17;upm;estrato;factor
70210;7;1;100;0;300;0;0;0;50;0;40;0;0;0;100;0;0;0;0;0;12;0;0;0;0;0;0;120;0;117;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;700;0;0;0;0;0;0;0;713-05199547769-A;13;486
70211;7;1;40;0;0;0;0;0;150;20;20;0;0;0;0;0;500;0;350;150;20;0;0;0;0;0;350;150;0;117;0;300;100;150;0;0;0;0;0;150;0;0;0;0;35;0;0;0;0;0;0;0;0;0;0;0;0;0;713-05199547769-A;13;486
70215;7;2;20;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;743-05654084048-D;23;429
70217;7;2;20;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;743-05654084048-D;23;429
70219;8;2;80;0;0;0;0;0;50;10;0;0;0;0;0;0;0;0;0;0;0;30;30;0;0;0;200;30;0;0;0;0;200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;300;300;100;0;0;0;0;0;0;852-07182116967-A;22;279
70223;4;2;20;0;120;0;0;0;25;0;0;0;0;0;30;0;0;0;0;15;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;150;200;0;0;0;0;0;0;0;453-04873070581-D;23;177
70230;4;2;10;0;0;0;0;0;20;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0;300;40;0;0;0;300;70;80;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;250;400;0;0;0;0;0;0;0;453-04873070581-D;23;177
70241;2;1;25;0;0;0;0;120;20;10;10;0;0;0;0;20;240;40;20;0;0;0;80;0;0;0;500;40;0;0;0;150;100;100;0;0;10;0;0;200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;213-00629537212-A;13;221
70242;2;1;14;100;0;0;0;120;120;0;10;0;0;0;0;180;300;0;150;0;0;0;11;0;0;0;0;40;0;0;0;0;0;1800;0;0;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;213-00629537212-A;13;221
70243;2;1;4;15;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;20;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;180;200;5;0;0;0;0;0;0;213-00629537212-A;13;221
70250;2;1;30;200;0;500;400;0;30;0;50;0;1700;0;200;0;0;0;0;40;0;0;200;0;0;200;0;200;190;150;0;0;100;300;0;0;0;0;60;0;0;0;0;0;0;0;0;500;0;0;0;0;0;0;0;0;0;0;213-00629537212-A;13;221
70350;7;1;200;0;0;0;0;0;100;50;20;0;0;0;0;100;200;0;0;0;0;0;0;0;0;0;100;250;120;180;0;0;500;0;0;0;0;0;0;200;0;3500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;500;0;713-05199547769-A;13;486
70354;7;1;100;500;0;0;0;0;200;20;20;0;280;0;100;50;700;0;100;60;0;0;100;0;0;0;0;50;80;80;0;600;0;240;0;0;0;0;0;0;0;0;0;0;300;0;0;0;0;150;1500;0;0;0;0;0;350;0;713-05199547769-A;13;486
70359;6;2;50;100;0;0;0;0;30;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;400;500;0;0;0;0;0;0;0;643-03126818349-A;23;259
