folio;depto;area;s09a_01;s09a_02;s09a_03;s09a_04;s09a_05;s09a_06;s09a_07;s09a_08;s09a_09;s09b_10;s09b_11;s09b_12;s09b_13;s09b_14;s09b_15;s09b_16;upm;estrato;factor
13203;4;1;1;1;1;2;2;2;1;2;1;2;2;1;2;1;2;1;421-04098188253-A;11;154
13208;3;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;314-05219880995-A;14;207
13215;3;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;333-05513277807-A;13;214
13219;3;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;333-05513277807-A;13;214
13221;3;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;314-05284051746-A;14;225
13226;2;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;264-06096538647-A;14;252
13227;2;1;1;1;2;2;2;1;2;2;1;2;1;2;2;2;2;2;264-06096538647-A;14;252
13228;2;1;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;264-06096538647-A;14;252
13229;2;1;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;264-06096538647-A;14;252
13248;2;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;263-06097862139-A;13;221
13249;2;1;1;2;1;2;2;1;2;2;2; ; ; ; ; ; ; ;263-06097862139-A;13;221
13250;2;1;1;1;2;1;1;2;2;2;1;2;2;2;2;2;2;2;263-06097862139-A;13;221
13251;2;1;1;2;2;1;2;1;1;1;1;2;2;2;2;2;2;2;263-06097862139-A;13;221
13279;3;1;1;2;1;1;1;1;1;2;1;2;1;2;2;2;2;2;333-05513277807-A;13;214
13285;3;1;1;2;1;1;2;1;2;2;1;2;2;2;2;2;2;2;333-05513277807-A;13;214
13311;2;1;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;263-06123134429-A;13;241
13312;2;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;263-06123134429-A;13;241
13347;2;1;1;1;1;1;1;1;1;1;2; ; ; ; ; ; ; ;222-00665531828-A;12;182
13349;3;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;313-05201550183-A;13;214
13354;6;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;612-02979200189-A;12;127
13359;6;1;2;2;2;2;2;2;1;2;1;2;2;2;2;2;2;2;612-02979200189-A;12;127
13364;6;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;612-02979200189-A;12;127
13368;3;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;333-05513277807-A;13;214
13376;2;1;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;263-06036136079-A;12;182
13377;2;1;1;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;263-06036136079-A;12;182
13378;2;1;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;263-06036136079-A;12;182
13379;2;1;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;263-06036136079-A;12;182
13393;3;1;1;2;2;2;2;2;2;2;1;2;2;2;2;1;2;2;313-05195986295-A;13;233
13398;3;1;1;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;313-05191110666-A;13;214
13404;3;1;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;313-05191110666-A;13;214
13410;6;1;1;1;1;1;2;1;1;2;1;2;2;2;2;2;2;2;622-03358767530-A;12;127
13416;3;1;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;314-05219880995-A;14;207
13421;7;1;1;1;1;1;1;1;2;2;1;1;2;2;2;2;2;2;732-04987245342-A;12;398
13424;6;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;612-02979200189-A;12;127
13443;7;1;1;2;1;1;2;1;2;2;2; ; ; ; ; ; ; ;713-05231319386-A;13;530
13445;1;1;1;2;2;2;2;1;2;2;1;2;2;2;2;2;2;2;132-03948734383-A;12;210
13455;2;1;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;263-06127121748-A;13;221
13456;2;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;263-06127121748-A;13;221
13457;2;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;263-06123134429-A;13;241
13465;2;1;1;1;2;2;2;2;2;2;1;2;2;2;2;2;2;2;263-06123134429-A;13;241
13470;1;1;2;2;2;2;2;2;2;2;1; ; ; ; ; ; ; ;132-03948734383-A;12;210
13482;7;1;1;2;2;1;1;1;1;2;1;2;1;1;2;2;1;2;722-05849355161-A;12;398
13519;7;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;714-05265017658-A;14;441
13525;7;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;714-05265017658-A;14;441
13526;7;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;714-05265017658-A;14;441
13527;7;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;714-05265017658-A;14;441
13528;7;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;714-05265017658-A;14;441
13536;3;1;1;1;1;2;2;1;1;2;1;2;2;2;2;2;2;2;313-05195986295-A;13;233
13543;3;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;313-05195986295-A;13;233
13583;2;1;1;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;263-06097862139-A;13;221
13584;2;1;1;2;2;2;2;2;2;1;1;2;2;2;1;2;2;2;263-06097862139-A;13;221
13588;2;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;263-06097862139-A;13;221
13589;2;1;1;1;1;1;1;1;1;1;2; ; ; ; ; ; ; ;263-06097862139-A;13;221
13599;2;1;1;1;2;2;2;2;2;2;2; ; ; ; ; ; ; ;263-06101460835-A;13;221
13610;2;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;263-06101460835-A;13;221
13611;6;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;622-02607034693-A;12;127
13613;4;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;421-04098188253-A;11;154
13616;4;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;421-04098188253-A;11;154
13623;6;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;622-03358767530-A;12;127
13626;3;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;313-05188932766-A;13;214
13637;3;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;313-05188932766-A;13;214
13644;2;1;2;1;1;1;1;1;2;1;2; ; ; ; ; ; ; ;222-00665531828-A;12;182
13645;2;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;222-00665531828-A;12;182
13728;2;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;263-06116235961-A;13;221
13733;2;1;1;1;1;1;1;1;2;2;1;1;1;2;1;2;2;2;263-06101460835-A;13;221
13734;2;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;263-06101460835-A;13;221
13735;2;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;263-06101460835-A;13;221
13736;2;1;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;263-06101460835-A;13;221
13737;7;1;1;2;1;2;2;2;2;2;1;2;2;2;2;2;2;2;722-05473374574-A;12;398
13745;1;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;113-00418007041-A;13;205
13746;7;1;2;2;2;2;2;2;2;2;1;2;1;2;2;2;2;2;713-05243148494-A;13;486
13751;7;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;713-05243148494-A;13;486
13757;2;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;263-06091361852-A;13;221
13761;6;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;622-02607034693-A;12;127
13766;6;1;1;2;1;1;1;1;1;2;2; ; ; ; ; ; ; ;622-02607034693-A;12;127
13768;6;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;612-02969032296-A;12;127
13773;6;1;2;2;2;2;2;2;2;2;1;2;1;2;1;2;2;2;612-02969032296-A;12;127
13778;3;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;314-05243433676-A;14;248
13785;1;1;1;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;132-03948734383-A;12;210
13790;3;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;313-05214971514-A;13;214
13794;3;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;313-05214971514-A;13;214
13803;3;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;312-05215271971-A;12;189
